snapshot_num,timestamp_s,camera,severity,risk_score,queue_pressure,flow_degradation,clearance_delay,baggage_load,queue_trend,flow_trend,time_to_breach_s,top_action,explanation
1,10.33,Gate A,AMBER,41.2,0.28,0.9,0.044,0.215,-1.5,0.5,,Flow rate at [Gate A] is critically low — check for blockages,[Gate A] Risk 41% (AMBER). Main driver: flow rate 1.0/min (10% of baseline). Queue shrinking -1.5 pax/snapshot.
1,10.33,Security,AMBER,41.2,0.28,1.0,0.0,0.0,-1.5,0.0,,Flow rate at [Security] is critically low — check for blockages,[Security] Risk 41% (AMBER). Main driver: flow rate 0.0/min (0% of baseline). Queue shrinking -1.5 pax/snapshot.
1,10.33,Departures,AMBER,41.1,0.08,0.9,0.044,1.0,-1.0,0.5,,High baggage load at [Departures] — activate dedicated bag-check lane,[Departures] Risk 41% (AMBER). Main driver: flow rate 1.0/min (10% of baseline). Queue shrinking -1.0 pax/snapshot.
1,10.33,Arrivals Hall,AMBER,34.5,0.04,0.9,0.044,0.5,-2.5,0.5,,Flow rate at [Arrivals Hall] is critically low — check for blockages,[Arrivals Hall] Risk 34% (AMBER). Main driver: flow rate 1.0/min (10% of baseline). Queue shrinking -2.5 pax/snapshot.
