snapshot_num,timestamp_s,camera,severity,risk_score,queue_pressure,flow_degradation,clearance_delay,baggage_load,queue_trend,flow_trend,time_to_breach_s,top_action,explanation
4,35.36,Security,AMBER,39.6,0.24,1.0,0.0,0.0,0.464,0.0,204.6,Flow rate at [Security] is critically low — check for blockages,[Security] Risk 40% (AMBER). Main driver: flow rate 0.0/min (0% of baseline). Estimated breach in 205s.
4,35.36,Arrivals Hall,GREEN,33.6,0.08,0.9,0.044,0.25,-0.464,0.083,,Flow rate at [Arrivals Hall] is critically low — check for blockages,[Arrivals Hall] Risk 34% (GREEN). Main driver: flow rate 1.0/min (10% of baseline).
4,35.36,Departures,GREEN,29.3,0.08,0.7,0.128,0.25,-0.131,0.405,,Flow rate at [Departures] is critically low — check for blockages,[Departures] Risk 29% (GREEN). Main driver: flow rate 3.0/min (30% of baseline).
4,35.36,Gate A,GREEN,21.9,0.16,0.4,0.114,0.125,-0.548,0.893,,2 special-needs passenger(s) at [Gate A] — ensure priority lane,[Gate A] Risk 22% (GREEN). Main driver: flow rate 6.0/min (60% of baseline). Queue shrinking -0.5 pax/snapshot. 2 special-needs passenger(s) present.
