snapshot_num,timestamp_s,camera,severity,risk_score,queue_pressure,flow_degradation,clearance_delay,baggage_load,queue_trend,flow_trend,time_to_breach_s,top_action,explanation
2,23.71,Gate A,AMBER,34.5,0.08,0.9,0.088,0.25,-1.0,0.5,,Flow rate at [Gate A] is critically low — check for blockages,[Gate A] Risk 34% (AMBER). Main driver: flow rate 1.0/min (10% of baseline). Queue shrinking -1.0 pax/snapshot.
2,23.71,Security,AMBER,34.5,0.08,0.9,0.088,0.25,-0.5,0.5,,Flow rate at [Security] is critically low — check for blockages,[Security] Risk 34% (AMBER). Main driver: flow rate 1.0/min (10% of baseline).
2,23.71,Arrivals Hall,AMBER,34.5,0.08,0.9,0.088,0.25,-1.0,0.5,,Flow rate at [Arrivals Hall] is critically low — check for blockages,[Arrivals Hall] Risk 34% (AMBER). Main driver: flow rate 1.0/min (10% of baseline). Queue shrinking -1.0 pax/snapshot.
2,23.71,Departures,AMBER,34.5,0.08,0.9,0.088,0.25,-1.0,0.5,,Flow rate at [Departures] is critically low — check for blockages,[Departures] Risk 34% (AMBER). Main driver: flow rate 1.0/min (10% of baseline). Queue shrinking -1.0 pax/snapshot.
