snapshot_num,timestamp_s,camera,severity,risk_score,queue_pressure,flow_degradation,clearance_delay,baggage_load,queue_trend,flow_trend,time_to_breach_s,top_action,explanation
11,93.46,Security,AMBER,44.4,0.36,1.0,0.0,0.0,0.262,0.0,305.5,Flow rate at [Security] is critically low — check for blockages,[Security] Risk 44% (AMBER). Main driver: flow rate 0.0/min (0% of baseline). Estimated breach in 305s.
11,93.46,Departures,AMBER,37.6,0.04,0.9,0.199,0.5,-0.143,-0.274,,Flow rate at [Departures] is critically low — check for blockages,[Departures] Risk 38% (AMBER). Main driver: flow rate 1.0/min (10% of baseline).
11,93.46,Arrivals Hall,GREEN,33.9,0.04,0.8,0.165,0.5,-0.655,0.048,,Flow rate at [Arrivals Hall] is critically low — check for blockages,[Arrivals Hall] Risk 34% (GREEN). Main driver: flow rate 2.0/min (20% of baseline). Queue shrinking -0.7 pax/snapshot.
11,93.46,Gate A,GREEN,32.1,0.36,0.4,0.258,0.055,0.929,-0.345,86.2,Flow rate declining at [Gate A] — monitor staffing level,[Gate A] Risk 32% (GREEN). Main driver: flow rate 6.0/min (60% of baseline). Queue growing +0.9 pax/snapshot. Estimated breach in 86s.
