type,id_label,global_id,track_id,camera,x,y,size,category,special_type,timestamp_s,snapshot_num
person,G:1,1,1,Gate A,75,274,,,,33.73,4
person,G:3,3,3,Gate A,103,267,,,,33.73,4
person,G:1,1,1,Security,76,274,,,,33.73,4
person,G:3,3,3,Security,103,267,,,,33.73,4
person,G:1,1,1,Arrivals Hall,75,274,,,,33.73,4
person,G:3,3,3,Arrivals Hall,103,267,,,,33.73,4
person,G:1,1,1,Departures,75,274,,,,33.73,4
person,G:3,3,3,Departures,103,267,,,,33.73,4
luggage,small,-1,-1,Gate A,365,309,small,suitcase,,33.73,4
luggage,small,-1,-1,Security,365,309,small,suitcase,,33.73,4
luggage,small,-1,-1,Arrivals Hall,365,309,small,suitcase,,33.73,4
luggage,small,-1,-1,Departures,365,309,small,suitcase,,33.73,4
