snapshot_num,timestamp_s,camera,severity,risk_score,queue_pressure,flow_degradation,clearance_delay,baggage_load,queue_trend,flow_trend,time_to_breach_s,top_action,explanation
12,101.37,Security,AMBER,38.0,0.2,1.0,0.0,0.0,0.071,0.0,1400.0,Flow rate at [Security] is critically low — check for blockages,[Security] Risk 38% (AMBER). Main driver: flow rate 0.0/min (0% of baseline). Estimated breach in 1400s.
12,101.37,Departures,AMBER,37.6,0.04,0.9,0.199,0.5,0.0,-0.321,,Flow rate at [Departures] is critically low — check for blockages,[Departures] Risk 38% (AMBER). Main driver: flow rate 1.0/min (10% of baseline).
12,101.37,Gate A,AMBER,35.1,0.36,0.5,0.258,0.055,1.226,-0.25,65.2,Flow rate at [Gate A] is critically low — check for blockages,[Gate A] Risk 35% (AMBER). Main driver: flow rate 5.0/min (50% of baseline). Queue growing +1.2 pax/snapshot. Estimated breach in 65s. 1 special-needs passenger(s) present.
12,101.37,Arrivals Hall,GREEN,33.8,0.12,0.8,0.165,0.165,-0.381,0.143,,Flow rate at [Arrivals Hall] is critically low — check for blockages,[Arrivals Hall] Risk 34% (GREEN). Main driver: flow rate 2.0/min (20% of baseline).
