snapshot_num,timestamp_s,camera,severity,risk_score,queue_pressure,flow_degradation,clearance_delay,baggage_load,queue_trend,flow_trend,time_to_breach_s,top_action,explanation
13,109.57,Departures,AMBER,37.6,0.04,0.9,0.199,0.5,0.0,-0.179,,Flow rate at [Departures] is critically low — check for blockages,[Departures] Risk 38% (AMBER). Main driver: flow rate 1.0/min (10% of baseline).
13,109.57,Gate A,AMBER,36.2,0.36,0.5,0.258,0.165,1.048,-0.107,76.4,Flow rate at [Gate A] is critically low — check for blockages,[Gate A] Risk 36% (AMBER). Main driver: flow rate 5.0/min (50% of baseline). Queue growing +1.0 pax/snapshot. Estimated breach in 76s. 1 special-needs passenger(s) present.
13,109.57,Security,AMBER,34.8,0.12,1.0,0.0,0.0,-0.536,0.0,,Flow rate at [Security] is critically low — check for blockages,[Security] Risk 35% (AMBER). Main driver: flow rate 0.0/min (0% of baseline). Queue shrinking -0.5 pax/snapshot.
13,109.57,Arrivals Hall,GREEN,33.7,0.16,0.8,0.165,0.0,0.381,0.0,275.6,Flow rate at [Arrivals Hall] is critically low — check for blockages,[Arrivals Hall] Risk 34% (GREEN). Main driver: flow rate 2.0/min (20% of baseline). Estimated breach in 276s.
