snapshot_num,timestamp_s,camera,severity,risk_score,queue_pressure,flow_degradation,clearance_delay,baggage_load,queue_trend,flow_trend,time_to_breach_s,top_action,explanation
10,85.18,Security,AMBER,39.6,0.24,1.0,0.0,0.0,-0.536,0.0,,Flow rate at [Security] is critically low — check for blockages,[Security] Risk 40% (AMBER). Main driver: flow rate 0.0/min (0% of baseline). Queue shrinking -0.5 pax/snapshot. 1 special-needs passenger(s) present.
10,85.18,Departures,AMBER,34.6,0.04,0.8,0.199,0.5,-0.19,-0.143,,Flow rate at [Departures] is critically low — check for blockages,[Departures] Risk 35% (AMBER). Main driver: flow rate 2.0/min (20% of baseline).
10,85.18,Arrivals Hall,GREEN,33.9,0.04,0.8,0.165,0.5,-0.131,0.036,,Flow rate at [Arrivals Hall] is critically low — check for blockages,[Arrivals Hall] Risk 34% (GREEN). Main driver: flow rate 2.0/min (20% of baseline).
10,85.18,Gate A,GREEN,29.1,0.04,0.4,0.273,1.0,-0.06,-0.31,,High baggage load at [Gate A] — activate dedicated bag-check lane,[Gate A] Risk 29% (GREEN). Main driver: flow rate 6.0/min (60% of baseline).
