type,id_label,global_id,track_id,camera,x,y,size,category,special_type,timestamp_s,snapshot_num
person,T:-1,-1,-1,Gate A,122,359,,,,40.78,7
person,T:-1,-1,-1,Gate A,158,360,,,,40.78,7
person,T:-1,-1,-1,Gate A,312,318,,,,40.78,7
person,T:-1,-1,-1,Gate A,74,359,,,,40.78,7
person,T:-1,-1,-1,Gate A,454,328,,,,40.78,7
person,T:-1,-1,-1,Security,122,359,,,,40.78,7
person,T:-1,-1,-1,Security,158,360,,,,40.78,7
person,T:-1,-1,-1,Security,312,318,,,,40.78,7
person,T:-1,-1,-1,Security,74,359,,,,40.78,7
person,T:-1,-1,-1,Security,454,328,,,,40.78,7
person,T:-1,-1,-1,Arrivals Hall,122,359,,,,40.78,7
person,T:-1,-1,-1,Arrivals Hall,158,360,,,,40.78,7
person,T:-1,-1,-1,Arrivals Hall,312,318,,,,40.78,7
person,T:-1,-1,-1,Arrivals Hall,74,359,,,,40.78,7
person,T:-1,-1,-1,Arrivals Hall,454,328,,,,40.78,7
person,T:-1,-1,-1,Departures,122,359,,,,40.78,7
person,T:-1,-1,-1,Departures,158,360,,,,40.78,7
person,T:-1,-1,-1,Departures,312,318,,,,40.78,7
person,T:-1,-1,-1,Departures,74,359,,,,40.78,7
person,T:-1,-1,-1,Departures,454,328,,,,40.78,7
luggage,small,-1,-1,Gate A,366,309,small,suitcase,,40.78,7
luggage,small,-1,-1,Security,366,309,small,suitcase,,40.78,7
luggage,small,-1,-1,Arrivals Hall,366,309,small,suitcase,,40.78,7
luggage,small,-1,-1,Departures,366,309,small,suitcase,,40.78,7
